ID, ParentID, Kind, What, Where, Start, End
16638@GPU[1].SA[0].L1VCache[0], 16638_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VCache[0], 0.0000098930, 0.0000099580
16651, 16644@GPU[1].SA[0].L1VCache[0], cache_transaction, read, GPU[1].SA[0].L1VCache[0].Local, 0.0000098940, 0.0000099580
16638_req_out, 16599@GPU[1].SA[0].L1VAddrTrans[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098920, 0.0000099590
16599@GPU[1].SA[0].L1VAddrTrans[0], 16599_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098900, 0.0000099590
16449_req_out, 16440, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000098850, 0.0000099590
16450@GPU[1].SA[0].L1VROB[0], 16450_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098870, 0.0000099590
16593_req_out, 16451@GPU[1].SA[0].L1VROB[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098880, 0.0000099590
16644@GPU[1].SA[0].L1VCache[0], 16644_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VCache[0], 0.0000098940, 0.0000099590
16451@GPU[1].SA[0].L1VROB[0], 16451_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098880, 0.0000099600
16599_req_out, 16452@GPU[1].SA[0].L1VROB[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098890, 0.0000099600
16644_req_out, 16620@GPU[1].SA[0].L1VAddrTrans[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098930, 0.0000099600
16620@GPU[1].SA[0].L1VAddrTrans[0], 16620_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098910, 0.0000099600
16450_req_out, 16440, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000098860, 0.0000099600
16451_req_out, 16440, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000098870, 0.0000099610
16452@GPU[1].SA[0].L1VROB[0], 16452_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098890, 0.0000099610
16620_req_out, 16453@GPU[1].SA[0].L1VROB[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098900, 0.0000099610
16452_req_out, 16440, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000098880, 0.0000099620
16453@GPU[1].SA[0].L1VROB[0], 16453_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098900, 0.0000099620
16453_req_out, 16440, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000098890, 0.0000099630
16440, 4106, inst, VMem, GPU[1].SA[0].CU[0].VMem, 0.0000098150, 0.0000099630
16523, 4106, inst, Special, GPU[1].SA[0].CU[0].Special, 0.0000098420, 0.0000099640
16770, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000099640, 0.0000099690
16776, 4106, inst, Branch, GPU[1].SA[0].CU[0].Branch, 0.0000099690, 0.0000099720
16793, 16786@GPU[1].SA[0].L1ICache, cache_transaction, read, GPU[1].SA[0].L1ICache.Local, 0.0000099740, 0.0000099780
16786@GPU[1].SA[0].L1ICache, 16786_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1ICache, 0.0000099740, 0.0000099790
16786_req_out, 16780@GPU[1].SA[0].L1IROB, req_out, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000099730, 0.0000099800
16780@GPU[1].SA[0].L1IROB, 16780_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000099730, 0.0000099810
16780_req_out, 16780_fetch, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000099720, 0.0000099820
16780_fetch, 4106, fetch, fetch, GPU[1].SA[0].CU[0], 0.0000099720, 0.0000099820
16813, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000099830, 0.0000099880
16827, 16820@GPU[1].SA[0].L1ICache, cache_transaction, read, GPU[1].SA[0].L1ICache.Local, 0.0000099850, 0.0000099890
16820@GPU[1].SA[0].L1ICache, 16820_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1ICache, 0.0000099850, 0.0000099900
16820_req_out, 16814@GPU[1].SA[0].L1IROB, req_out, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000099840, 0.0000099910
16814@GPU[1].SA[0].L1IROB, 16814_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000099840, 0.0000099920
16834, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000099880, 0.0000099930
16814_req_out, 16814_fetch, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000099830, 0.0000099930
16814_fetch, 4106, fetch, fetch, GPU[1].SA[0].CU[0], 0.0000099830, 0.0000099930
16851, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000099930, 0.0000099980
16866, 16859@GPU[1].SA[0].L1ICache, cache_transaction, read, GPU[1].SA[0].L1ICache.Local, 0.0000099960, 0.0000100000
16859@GPU[1].SA[0].L1ICache, 16859_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1ICache, 0.0000099960, 0.0000100010
16859_req_out, 16853@GPU[1].SA[0].L1IROB, req_out, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000099950, 0.0000100020
16853@GPU[1].SA[0].L1IROB, 16853_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000099950, 0.0000100030
16871, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000099980, 0.0000100030
16853_req_out, 16853_fetch, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000099940, 0.0000100040
16853_fetch, 4106, fetch, fetch, GPU[1].SA[0].CU[0], 0.0000099940, 0.0000100040
16888, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100030, 0.0000100080
16905, 16898@GPU[1].SA[0].L1ICache, cache_transaction, read, GPU[1].SA[0].L1ICache.Local, 0.0000100070, 0.0000100110
16898@GPU[1].SA[0].L1ICache, 16898_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1ICache, 0.0000100070, 0.0000100120
16898_req_out, 16892@GPU[1].SA[0].L1IROB, req_out, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000100060, 0.0000100130
16908, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100080, 0.0000100130
16892@GPU[1].SA[0].L1IROB, 16892_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000100060, 0.0000100140
16892_req_out, 16892_fetch, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000100050, 0.0000100150
16892_fetch, 4106, fetch, fetch, GPU[1].SA[0].CU[0], 0.0000100050, 0.0000100150
16923, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100130, 0.0000100180
16933, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100180, 0.0000100230
16939, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100230, 0.0000100280
16945, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100280, 0.0000100330
16951, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100330, 0.0000100380
16965, 16958@GPU[1].SA[0].L1ICache, cache_transaction, read, GPU[1].SA[0].L1ICache.Local, 0.0000100350, 0.0000100390
16958@GPU[1].SA[0].L1ICache, 16958_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1ICache, 0.0000100350, 0.0000100400
16958_req_out, 16952@GPU[1].SA[0].L1IROB, req_out, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000100340, 0.0000100410
16952@GPU[1].SA[0].L1IROB, 16952_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000100340, 0.0000100420
16972, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100380, 0.0000100430
16952_req_out, 16952_fetch, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000100330, 0.0000100430
16952_fetch, 4106, fetch, fetch, GPU[1].SA[0].CU[0], 0.0000100330, 0.0000100430
16989, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100430, 0.0000100480
16995, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000100480, 0.0000100530
17033@GPU[1].SA[0].L1STLB, 17033_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1STLB, 0.0000100680, 0.0000100680
17020, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000100640, 0.0000100680
17033_req_out, 17027@GPU[1].SA[0].L1SAddrTrans, req_out, *vm.TranslationReq, GPU[1].SA[0].L1SAddrTrans, 0.0000100670, 0.0000100690
17040, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000100680, 0.0000100720
17051, 17044@GPU[1].SA[0].L1SCache, cache_transaction, read, GPU[1].SA[0].L1SCache.Local, 0.0000100700, 0.0000100740
17044@GPU[1].SA[0].L1SCache, 17044_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1SCache, 0.0000100700, 0.0000100750
17044_req_out, 17027@GPU[1].SA[0].L1SAddrTrans, req_out, *mem.ReadReq, GPU[1].SA[0].L1SAddrTrans, 0.0000100690, 0.0000100760
17027@GPU[1].SA[0].L1SAddrTrans, 17027_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1SAddrTrans, 0.0000100670, 0.0000100760
17057, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000100720, 0.0000100760
17027_req_out, 17019@GPU[1].SA[0].L1SROB, req_out, *mem.ReadReq, GPU[1].SA[0].L1SROB, 0.0000100660, 0.0000100770
17019@GPU[1].SA[0].L1SROB, 17019_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1SROB, 0.0000100660, 0.0000100780
17019_req_out, 17015, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000100640, 0.0000100790
17015, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000100610, 0.0000100790
17072, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000100760, 0.0000100800
17140@GPU[1].SA[0].L1VTLB[0], 17140_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1VTLB[0], 0.0000101260, 0.0000101260
17140_req_out, 17133@GPU[1].SA[0].L1VAddrTrans[0], req_out, *vm.TranslationReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000101250, 0.0000101270
17149@GPU[1].SA[0].L1VTLB[0], 17149_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1VTLB[0], 0.0000101270, 0.0000101270
17149_req_out, 17143@GPU[1].SA[0].L1VAddrTrans[0], req_out, *vm.TranslationReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000101260, 0.0000101280
17164@GPU[1].SA[0].L1VTLB[0], 17164_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1VTLB[0], 0.0000101280, 0.0000101280
17174@GPU[1].SA[0].L1VTLB[0], 17174_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1VTLB[0], 0.0000101290, 0.0000101290
17164_req_out, 17154@GPU[1].SA[0].L1VAddrTrans[0], req_out, *vm.TranslationReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000101270, 0.0000101290
17174_req_out, 17160@GPU[1].SA[0].L1VAddrTrans[0], req_out, *vm.TranslationReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000101280, 0.0000101300
